Timestamp,Open,High,Low,Close,Vol_BTC,Vol_USDT,Vol__USDT,K-line_completion
2024-12-16 16:00:00,106324.7,108365,105461.5,106471,10071.25219352,1075926925.741135406,1075926925.741135406,1
2024-12-15 16:00:00,102696.9,106660.8,102580.5,106319.9,10591.11690828,1110469289.19807215,1110469289.19807215,1
2024-12-14 16:00:00,101624.2,103360.7,100606.9,102696.9,4526.30649307,462564158.063284363,462564158.063284363,1
2024-12-13 16:00:00,99872.6,102666,99792,101624.2,6380.58771697,647728950.917249261,647728950.917249261,1
2024-12-12 16:00:00,101795.5,102538.9,99200,99874.9,9246.75911245,928468439.64371365,928468439.64371365,1
2024-12-11 16:00:00,100374.2,101884,99602.9,101795.4,9538.95067919,962681310.331776647,962681310.331776647,1
2024-12-10 16:00:00,95656,100790,94244.3,100374.1,12024.02198895,1169673099.907439409,1169673099.907439409,1
2024-12-09 16:00:00,97807.9,98391.8,94000,95655.9,14515.64388211,1405692632.858322688,1405692632.858322688,1
2024-12-08 16:00:00,99907.2,101362.7,97512.2,97805.4,8442.18305696,837300850.406311512,837300850.406311512,1
2024-12-07 16:00:00,99733.4,100500,98663.2,99907.1,4122.7548541,411323444.463842334,411323444.463842334,1
2024-12-06 16:00:00,99312.2,101901.8,98752,99733.3,6663.02420345,667144330.624149726,667144330.624149726,1
2024-12-05 16:00:00,101308.1,102028,89711.9,99312.2,20552.33706257,2002225606.554146786,2002225606.554146786,1
2024-12-04 16:00:00,95746.4,104056,94580,101308.1,23060.24691862,2313277534.742655301,2313277534.742655301,1
2024-12-03 16:00:00,95684,96965.1,94852,95746.3,7635.06618011,732717439.35308496,732717439.35308496,1
2024-12-02 16:00:00,97035.7,97352,93583.8,95683.9,9101.65835662,867756068.305991985,867756068.305991985,1
2024-12-01 16:00:00,97029.5,98174.4,94770,97035.8,8330.74687735,802781341.859798628,802781341.859798628,1
2024-11-30 16:00:00,96646.6,97406.8,95678,97029.4,4199.56874168,405956121.730812119,405956121.730812119,1
2024-11-29 16:00:00,98008,98439.7,96080.1,96646.7,5211.22155837,505364302.498383048,505364302.498383048,1
2024-11-28 16:00:00,94998.4,98628,94703.2,98003.1,7435.50049527,718450847.775040131,718450847.775040131,1
2024-11-27 16:00:00,95544.3,97203.8,94610,94998.4,7934.35594018,759513143.907046994,759513143.907046994,1
2024-11-26 16:00:00,92815.1,95858,90800,95544.3,11046.6247376,1028811824.093339133,1028811824.093339133,1
2024-11-25 16:00:00,95995.1,96498.4,91466,92815.1,14181.33800374,1328248994.436651179,1328248994.436651179,1
2024-11-24 16:00:00,95920.4,98876,94583,95995.1,10079.14630452,978131869.391158994,978131869.391158994,1
2024-11-23 16:00:00,98377.3,98569.3,95920.4,95920.9,7237.51655135,706063010.373074997,706063010.373074997,1
2024-11-22 16:00:00,98648.1,99588,98200,98377.2,7645.62725977,755288871.456300898,755288871.456300898,1
